Station;Name;;Datum;Uhrzeit;Wert;;;;;;;;;;
135;Straßen.;;28.05.15;00:00;10,2243595;;;;;;;;;;
135;Straßen.;;28.05.15;00:30;9,92666;;;;;;;;;;
135;Straßen.;;28.05.15;01:00;9,39171;;;;;;;;;;
135;Straßen.;;28.05.15;01:30;9,114065;;;;;;;;;;
135;Straßen.;;28.05.15;02:00;8,874572;;;;;;;;;;
135;Straßen.;;28.05.15;02:30;8,778081;;;;;;;;;;
135;Straßen.;;28.05.15;03:00;8,326791;;;;;;;;;;
135;Straßen.;;28.05.15;03:30;7,857369;;;;;;;;;;
135;Straßen.;;28.05.15;04:00;7,536713;;;;;;;;;;
135;Straßen.;;28.05.15;04:30;6,7383122;;;;;;;;;;
135;Straßen.;;28.05.15;05:00;6,6048837;;;;;;;;;;
135;Straßen.;;28.05.15;05:30;7,2719774;;;;;;;;;;
135;Straßen.;;28.05.15;06:00;9,382457;;;;;;;;;;
135;Straßen.;;28.05.15;06:30;11,925659;;;;;;;;;;
135;Straßen.;;28.05.15;07:00;13,711216;;;;;;;;;;
135;Straßen.;;28.05.15;07:30;14,677985;;;;;;;;;;
135;Straßen.;;28.05.15;08:00;16,439219;;;;;;;;;;
135;Straßen.;;28.05.15;08:30;17,128284;;;;;;;;;;
135;Straßen.;;28.05.15;09:00;18,127422;;;;;;;;;;
135;Straßen.;;28.05.15;09:30;19,405834;;;;;;;;;;
135;Straßen.;;28.05.15;10:00;19,79268;;;;;;;;;;
135;Straßen.;;28.05.15;10:30;20,09528;;;;;;;;;;
135;Straßen.;;28.05.15;11:00;20,156048;;;;;;;;;;
135;Straßen.;;28.05.15;11:30;19,78891;;;;;;;;;;
135;Straßen.;;28.05.15;12:00;19,784084;;;;;;;;;;
135;Straßen.;;28.05.15;12:30;19,918459;;;;;;;;;;
135;Straßen.;;28.05.15;13:00;20,056625;;;;;;;;;;
135;Straßen.;;28.05.15;13:30;20,105303;;;;;;;;;;
135;Straßen.;;28.05.15;14:00;20,292366;;;;;;;;;;
135;Straßen.;;28.05.15;14:30;21,124748;;;;;;;;;;
135;Straßen.;;28.05.15;15:00;20,415213;;;;;;;;;;
135;Straßen.;;28.05.15;15:30;18,8235;;;;;;;;;;
135;Straßen.;;28.05.15;16:00;18,723879;;;;;;;;;;
