"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"21-05-2015";"14:00";9,8;8,7;92;220;9,4;;13;0;1022,8;985,2;0
11012;"Kremsmünster";383;"21-05-2015";"14:00";9,1;7,8;92;225;8,6;239;15,8;0;1023,1;976,3;0
11022;"Retz";320;"21-05-2015";"14:00";13,4;7,8;69;17;14,8;358;27,7;0;1020,1;982,2;0
11035;"Wien/Hohe Warte";203;"21-05-2015";"14:00";12,5;9,1;80;301;14,4;303;23,8;0;1020,3;995,4;0
11036;"Wien/Schwechat";183;"21-05-2015";"14:00";12,7;9;78;320;20,5;;29,5;0;1019,7;998,1;0
11101;"Bregenz";424;"21-05-2015";"14:00";9,9;7,1;84;105;12,6;109;24,1;0;1024;971,8;0
11121;"Innsbruck";579;"21-05-2015";"14:00";10,1;5,3;73;59;2,5;43;7,9;0;1022,4;953,4;0
11126;"Patscherkofel";2247;"21-05-2015";"14:00";-2,6;-2,8;100;24;16,9;22;43,6;0,4;;775,4;0
11130;"Kufstein";495;"21-05-2015";"14:00";8,7;6,6;87;37;5,8;3;13,7;0,7;1023,1;964,4;0
11150;"Salzburg";430;"21-05-2015";"14:00";10,4;7;80;310;3,6;;13;0,2;1022,9;970;2
11155;"Feuerkogel";1618;"21-05-2015";"14:00";0,8;0,5;100;338;7,2;334;15,8;0,6;;839,2;0
11157;"Aigen im Ennstal";640;"21-05-2015";"14:00";8,7;4,8;77;220;5,8;218;10,1;0;1022,5;945,6;0
11171;"Mariazell";866;"21-05-2015";"14:00";7,1;5,3;90;15;7,6;4;16,2;0;1021,8;920,8;0
11190;"Eisenstadt";184;"21-05-2015";"14:00";12,7;8,5;76;301;13,7;302;37,8;0;1018,7;996,9;0
11204;"Lienz";659;"21-05-2015";"14:00";8,7;6,2;85;127;11,2;139;26,3;0;1019,8;941,3;0
11240;"Graz/Flughafen";340;"21-05-2015";"14:00";14,7;6,5;58;330;13;;22,3;0;1017,9;975,3;0
11244;"Bad Gleichenberg";280;"21-05-2015";"14:00";13,5;8,9;74;50;1,4;319;9,7;0;1018,7;986,6;0
11265;"Villacher Alpe";2140;"21-05-2015";"14:00";-0,3;-0,3;100;;;;;0;;783,4;0
11331;"Klagenfurt/Flughafen";447;"21-05-2015";"14:00";11,2;6,3;72;210;2,5;293;8,6;0;1019,6;966,2;0
11343;"Sonnblick";3105;"21-05-2015";"14:00";-5,1;-5,8;95;44;14;70;29,9;;;694,5;0
11389;"St. Pölten";270;"21-05-2015";"14:00";10,2;8,6;90;217;16,6;213;29,9;0;1022,1;989,7;0
